POS-CL,Conferência Leste,POS-CO,Conferência Oeste
1,Cleveland Cavaliers,1,Oklahoma City Thunder
2,Boston Celtics,2,Memphis Grizzlies
3,ew York Knicks,3,Denver Nuggets
4,Indiana Pacers,4,Houston Rockets
5,Milwaukee Bucks,5,Los Angeles Lakers
6,Detroit Pistons,6,LA Clippers
7,Orlando Magic,7,Minnesota Timberwolves
8,Atlanta Hawks,8,Dallas Mavericks
9,Miami Heat,9,Sacramento Kings
10,Chicago Bulls,10,olden State Warriors
11,Philadelphia 76ers,11,Phoenix Suns
12,Brooklyn Nets,12,an Antonio Spurs
13,Toronto Raptors,13,Portland Trail Blazers
14,Charlotte Hornets,14,HUtah Jazz
15,Washington Wizards,15,ew Orleans Pelicans
