ID,Name,TEAM,GROUP_VALUE,PTS,AST,REB
203081,Damian Lillard,Milwaukee Bucks,2024-25,25.5,7.5,4.7
203081,Damian Lillard,Milwaukee Bucks,2023-24,24.3,7.0,4.4
203081,Damian Lillard,Portland Trail Blazers,2022-23,32.2,7.3,4.8
203081,Damian Lillard,Portland Trail Blazers,2021-22,24.0,7.3,4.1
203081,Damian Lillard,Portland Trail Blazers,2020-21,28.8,7.5,4.2
203081,Damian Lillard,Portland Trail Blazers,2019-20,30.0,8.0,4.3
203081,Damian Lillard,Portland Trail Blazers,2018-19,25.8,6.9,4.6
203081,Damian Lillard,Portland Trail Blazers,2017-18,26.9,6.6,4.5
203081,Damian Lillard,Portland Trail Blazers,2016-17,27.0,5.9,4.9
203081,Damian Lillard,Portland Trail Blazers,2015-16,25.1,6.8,4.0
203081,Damian Lillard,Portland Trail Blazers,2014-15,21.0,6.2,4.6
203081,Damian Lillard,Portland Trail Blazers,2013-14,20.7,5.6,3.5
203081,Damian Lillard,Portland Trail Blazers,2012-13,19.0,6.5,3.1
201572,Brook Lopez,Milwaukee Bucks,2024-25,12.3,1.7,4.7
201572,Brook Lopez,Milwaukee Bucks,2023-24,12.5,1.6,5.2
201572,Brook Lopez,Milwaukee Bucks,2022-23,15.9,1.3,6.7
201572,Brook Lopez,Milwaukee Bucks,2021-22,12.4,0.5,4.1
201572,Brook Lopez,Milwaukee Bucks,2020-21,12.3,0.7,5.0
201572,Brook Lopez,Milwaukee Bucks,2019-20,12.0,1.5,4.6
201572,Brook Lopez,Milwaukee Bucks,2018-19,12.5,1.2,4.9
201572,Brook Lopez,Los Angeles Lakers,2017-18,13.0,1.7,4.0
201572,Brook Lopez,Brooklyn Nets,2016-17,20.5,2.3,5.4
201572,Brook Lopez,Brooklyn Nets,2015-16,20.6,2.0,7.8
201572,Brook Lopez,Brooklyn Nets,2014-15,17.2,0.7,7.4
201572,Brook Lopez,Brooklyn Nets,2013-14,20.7,0.9,6.0
201572,Brook Lopez,Brooklyn Nets,2012-13,19.4,0.9,6.9
201572,Brook Lopez,Brooklyn Nets,2011-12,19.2,1.2,3.6
201572,Brook Lopez,Brooklyn Nets,2010-11,20.4,1.6,6.0
201572,Brook Lopez,Brooklyn Nets,2009-10,18.8,2.3,8.6
201572,Brook Lopez,Brooklyn Nets,2008-09,13.0,1.0,8.1
203507,Giannis Antetokounmpo,Milwaukee Bucks,2024-25,31.8,5.9,12.2
203507,Giannis Antetokounmpo,Milwaukee Bucks,2023-24,30.4,6.5,11.5
203507,Giannis Antetokounmpo,Milwaukee Bucks,2022-23,31.1,5.7,11.8
203507,Giannis Antetokounmpo,Milwaukee Bucks,2021-22,29.9,5.8,11.6
203507,Giannis Antetokounmpo,Milwaukee Bucks,2020-21,28.1,5.9,11.0
203507,Giannis Antetokounmpo,Milwaukee Bucks,2019-20,29.5,5.6,13.6
203507,Giannis Antetokounmpo,Milwaukee Bucks,2018-19,27.7,5.9,12.5
203507,Giannis Antetokounmpo,Milwaukee Bucks,2017-18,26.9,4.8,10.0
203507,Giannis Antetokounmpo,Milwaukee Bucks,2016-17,22.9,5.4,8.8
203507,Giannis Antetokounmpo,Milwaukee Bucks,2015-16,16.9,4.3,7.7
203507,Giannis Antetokounmpo,Milwaukee Bucks,2014-15,12.7,2.6,6.7
203507,Giannis Antetokounmpo,Milwaukee Bucks,2013-14,6.8,1.9,4.4
